"weather","temperature","count"
"Light-Snow",0.599167,1996
"Clear",0.51,4595
"Cloudy",0.4125,2162
"Clear",0.775,4602
"Clear",0.403333,6460
"Clear",0.649167,7006
"Clear",0.68,7338
"Cloudy",0.550833,3644
"Clear",0.793333,5713
"Cloudy",0.425,3456
"Cloudy",0.619167,7415
"Clear",0.7125,6043
"Clear",0.715833,7446
"Clear",0.440833,3717
"Clear",0.355,5847
"Cloudy",0.464167,5572
"Clear",0.635,5020
"Cloudy",0.56,6421
"Cloudy",0.303333,1107
"Clear",0.805833,4302
"Clear",0.3425,4669
"Clear",0.741667,6966
"Light-Snow",0.254167,627
"Light-Snow",0.41,705
"Cloudy",0.731667,7499
"Cloudy",0.53,7852
"Cloudy",0.37,5459
"Clear",0.3325,5267
"Cloudy",0.615,6073
"Clear",0.738333,5119
"Clear",0.4375,3141
"Clear",0.533333,7030
"Clear",0.678333,7865
"Cloudy",0.317391,2056
"Cloudy",0.653333,4972
"Clear",0.475833,6606
"Clear",0.649167,7736
"Clear",0.5325,4362
"Clear",0.348333,3649
"Clear",0.6925,4460
"Clear",0.463333,4187
"Cloudy",0.316522,1977
"Clear",0.325217,2046
"Light-Snow",0.456667,1817
"Clear",0.15,2236
"Clear",0.700833,6544
"Cloudy",0.573333,2843
"Clear",0.314167,3940
"Clear",0.505833,6572
"Clear",0.861667,4840
"Cloudy",0.196522,1510
"Clear",0.238333,3310
"Clear",0.719167,5302
"Clear",0.564167,7639
"Cloudy",0.514167,7836
"Clear",0.635,7733
"Clear",0.274167,3392
"Clear",0.410833,5557
"Clear",0.655833,7421
"Cloudy",0.628333,4795
"Clear",0.273043,1951
"Clear",0.818333,6786
"Clear",0.733333,4098
"Clear",0.6975,5191
"Clear",0.290833,2732
"Cloudy",0.685,4153
"Clear",0.4875,7058
"Cloudy",0.218333,2432
"Clear",0.636667,4634
"Clear",0.479167,4608
"Clear",0.700833,4725
"Cloudy",0.566667,4563
"Clear",0.669167,4484
"Cloudy",0.3425,2455
"Clear",0.696667,5515
"Clear",0.220833,1530
"Cloudy",0.598333,4359
"Clear",0.456667,3744
"Clear",0.775833,4401
"Clear",0.415,2744
"Clear",0.606667,4073
"Clear",0.7225,5362
"Light-Snow",0.4475,2765
"Clear",0.639167,7665
"Clear",0.290833,3620
"Cloudy",0.684167,3542
"Clear",0.743333,3840
"Clear",0.529167,7907
"Clear",0.733333,5336
"Cloudy",0.5375,6273
"Cloudy",0.253333,3095
"Clear",0.459167,3071
"Clear",0.573333,3115
"Clear",0.53,4486
"Clear",0.413333,5633
"Clear",0.3375,3425
"Cloudy",0.3475,4649
"Clear",0.6975,7335
"Clear",0.599167,8167
"Clear",0.19,3292
"Cloudy",0.469167,4760
"Cloudy",0.2175,3163
"Cloudy",0.173333,1301
"Cloudy",0.318182,1096
"Clear",0.4,4109
"Clear",0.166667,2311
"Cloudy",0.491667,4511
"Clear",0.150833,1321
"Clear",0.0591304,981
"Clear",0.238333,2431
"Clear",0.709167,4940
"Cloudy",0.623333,4073
"Clear",0.7075,4833
"Clear",0.535,4864
"Cloudy",0.65,3544
"Clear",0.5875,7693
"Cloudy",0.330833,3747
"Clear",0.329167,3663
"Cloudy",0.463333,3520
"Clear",0.0965217,986
"Clear",0.408333,3974
"Clear",0.458333,6304
"Clear",0.728333,7040
"Clear",0.526667,6889
"Clear",0.231667,1204
"Clear",0.282609,3784
"Clear",0.626667,5180
"Clear",0.321739,1317
"Clear",0.489167,5585
"Clear",0.446667,3126
"Cloudy",0.295833,1891
"Clear",0.287826,3777
"Cloudy",0.703333,6969
"Clear",0.421667,4381
"Cloudy",0.285,1865
"Cloudy",0.451667,3351
"Clear",0.353333,5146
"Clear",0.484167,5698
"Cloudy",0.5775,3659
"Cloudy",0.661667,6053
"Clear",0.608333,8714
"Clear",0.793333,6824
"Cloudy",0.321667,5445
"Cloudy",0.264167,2832
"Cloudy",0.231304,920
"Clear",0.706667,7347
"Clear",0.2225,3422
"Cloudy",0.595652,3348
"Clear",0.313333,5087
"Cloudy",0.55,3855
"Clear",0.276667,3403
"Cloudy",0.613333,5740
"Clear",0.755,4586
"Clear",0.368333,3910
"Cloudy",0.696667,5810
"Clear",0.805833,5905
"Light-Snow",0.44,22
"Cloudy",0.344348,1834
"Cloudy",0.665833,5870
"Clear",0.389167,6536
"Clear",0.373333,1495
"Cloudy",0.423333,3068
"Clear",0.54,3239
"Clear",0.631667,4400
"Clear",0.755833,7286
"Clear",0.34,2425
"Clear",0.438333,5729
"Cloudy",0.808333,3915
"Cloudy",0.2975,5319
"Clear",0.604167,4891
"Clear",0.620833,7129
"Clear",0.703333,6917
"Clear",0.726667,6784
"Clear",0.378333,3249
"Cloudy",0.384167,2077
"Cloudy",0.5025,3372
"Clear",0.475833,4195
"Clear",0.69,6591
"Clear",0.494167,6133
"Clear",0.5775,7767
"Clear",0.5125,3429
"Clear",0.274167,3214
"Cloudy",0.346957,2121
"Cloudy",0.3175,3740
"Cloudy",0.38,2933
"Clear",0.295833,5532
"Light-Snow",0.243333,441
"Cloudy",0.384167,3228
"Clear",0.564167,6169
"Clear",0.415,1913
"Clear",0.794167,4258
"Clear",0.313333,4151
"Clear",0.186957,1550
"Clear",0.4725,3117
"Cloudy",0.815,3784
"Clear",0.204348,1606
"Cloudy",0.233333,1005
"Clear",0.4425,6398
"Clear",0.343333,4154
"Clear",0.316522,1589
"Cloudy",0.606667,5423
"Clear",0.348333,4169
"Cloudy",0.215833,2729
"Clear",0.608333,6691
"Clear",0.725833,6864
"Cloudy",0.364348,1461
"Clear",0.514167,7436
"Clear",0.743333,6891
"Clear",0.352174,5315
"Clear",0.4675,3267
"Clear",0.1275,1529
"Clear",0.781667,6227
"Clear",0.5725,6312
"Clear",0.324167,3368
"Clear",0.315833,4023
"Cloudy",0.192174,1360
"Clear",0.764167,7350
"Clear",0.303333,3376
"Clear",0.28,3129
"Cloudy",0.62,3872
"Clear",0.710833,7498
"Cloudy",0.335833,1471
"Clear",0.498333,6565
"Clear",0.728333,5225
"Cloudy",0.424167,6235
"Clear",0.663333,5538
"Clear",0.216522,1096
"Cloudy",0.180833,1501
"Cloudy",0.47,2659
"Cloudy",0.414167,1795
"Clear",0.521667,2927
"Clear",0.789167,7403
"Clear",0.361739,4911
"Cloudy",0.7525,7013
"Cloudy",0.343333,5138
"Cloudy",0.580833,6869
"Clear",0.804167,4475
"Cloudy",0.6575,7328
"Clear",0.765,5687
"Clear",0.393333,7109
"Clear",0.815833,5531
"Clear",0.583333,7525
"Cloudy",0.6825,4708
"Clear",0.595,3944
"Clear",0.546667,7720
"Cloudy",0.446667,6392
"Cloudy",0.440833,2566
"Cloudy",0.659167,5976
"Clear",0.433913,5936
"Cloudy",0.6925,6299
"Clear",0.281667,5611
"Clear",0.710833,3873
"Cloudy",0.5225,7509
"Cloudy",0.621667,5260
"Cloudy",0.320833,5008
"Cloudy",0.4375,4996
"Clear",0.298333,5668
"Cloudy",0.410833,4569
"Clear",0.34,3669
"Clear",0.564167,5202
"Clear",0.7225,5743
"Clear",0.294167,4270
"Cloudy",0.385833,3750
"Cloudy",0.415833,3510
"Cloudy",0.696667,6203
"Clear",0.334167,4098
"Cloudy",0.635833,6530
"Clear",0.299167,3614
"Cloudy",0.635833,4549
"Clear",0.182222,1450
"Clear",0.730833,7105
"Cloudy",0.715833,5786
"Clear",0.0973913,1416
"Cloudy",0.384167,3570
"Light-Snow",0.4625,2594
"Cloudy",0.280833,3831
"Light-Snow",0.54,2710
"Clear",0.6025,7641
"Cloudy",0.399167,3761
"Clear",0.673333,5130
"Cloudy",0.5125,4105
"Clear",0.536667,4917
"Cloudy",0.292174,1650
"Cloudy",0.321667,3214
"Cloudy",0.635,3907
"Clear",0.435833,2475
"Clear",0.7,4661
"Clear",0.468333,7534
"Clear",0.29913,2302
"Clear",0.664167,6370
"Cloudy",0.341667,3053
"Clear",0.633333,8009
"Cloudy",0.676667,3820
"Cloudy",0.428333,2660
"Clear",0.255833,5375
